# BEAST v1.9.0pre20161204 Prerelease #5657174
# Generated Tue Feb 21 14:19:07 GMT 2017 [seed=666]
# -seed 666 -beagle_cuda -beagle_double -beagle_order 1 -threshold 0.1 metazoan.xml
state	posterior	prior	likelihood	treeModel.rootHeight	yule.birthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
170000	-854325.4308888104	-192.82668797753456	-854132.6042008329	0.3751631690204212	5.513457283300985	0.5096250303888397	1.0	1.0	-854132.6042008329	0.0	37.75792420208775
175000	-854290.065669211	-192.53013343396688	-854097.535535777	0.37192077636005233	5.366012934593097	0.5043811599086407	1.0	1.0	-854097.535535777	0.0	38.043991004695044
180000	-854271.8535977032	-192.14022639669994	-854079.7133713064	0.36722700164652566	5.125173253391987	0.5148396537253385	1.0	1.0	-854079.7133713064	0.0	38.45481502959539
185000	-854225.9682124775	-191.6934378732544	-854034.2747746042	0.3630799681572914	6.1636987403796	0.5019533275636541	1.0	1.0	-854034.2747746042	0.0	38.875830900717546
190000	-854218.2473766862	-191.05809208647497	-854027.1892845997	0.35825113319563673	6.014748445845506	0.5019533275636541	1.0	1.0	-854027.1892845997	0.0	39.51117668749696
195000	-854215.9090444676	-191.0634533429974	-854024.8455911246	0.3573755736492282	5.222468047760175	0.504819334410991	1.0	1.0	-854024.8455911246	0.0	39.51154744466921
200000	-854202.5467126152	-192.41639748964047	-854010.1303151256	0.3564442878170159	7.318415822255783	0.5000673128447098	1.0	1.0	-854010.1303151256	0.0	38.149099254893585
205000	-854182.2719860321	-190.37633452907696	-853991.8956515031	0.3528633018839772	5.432106421861033	0.4961412678726051	1.0	1.0	-853991.8956515031	0.0	40.18131012551288
210000	-854172.5192221239	-190.2397503191287	-853982.2794718047	0.3517784666295025	6.132596301999976	0.49462884869647744	1.0	1.0	-853982.2794718047	0.0	40.31486949710891
215000	-854181.4811050353	-189.89016175980933	-853991.5909432755	0.35274071366101517	5.725886768336238	0.49921476885845417	1.0	1.0	-853991.5909432755	0.0	40.673629896752196
220000	-854159.2766140443	-190.02554317448033	-853969.2510708699	0.35082177478939836	6.717855060954086	0.48928011177584185	1.0	1.0	-853969.2510708699	0.0	40.518379167915974
225000	-854150.5210250714	-190.07878286948045	-853960.4422422019	0.3495466146959814	4.944499071467996	0.4926186213514235	1.0	1.0	-853960.4422422019	0.0	40.47181649206703
230000	-854131.3001313765	-188.9596258399831	-853942.3405055365	0.34708615320213204	6.205653005276395	0.49886482071653465	1.0	1.0	-853942.3405055365	0.0	41.60346592029462
235000	-854139.0899217323	-189.49743636759467	-853949.5924853648	0.34885883835453774	5.053284513916988	0.4991028701044268	1.0	1.0	-853949.5924853648	0.0	41.06613149145882
240000	-854126.8354889242	-189.68316907317055	-853937.152319851	0.34147513813361013	7.345418060555433	0.4938359772587383	1.0	1.0	-853937.152319851	0.0	40.86986500019156
245000	-854113.0407667798	-188.33217662414904	-853924.7085901557	0.3403628893673488	6.366881808086449	0.4941780563875353	1.0	1.0	-853924.7085901557	0.0	42.221541607470684
250000	-854119.2490678348	-189.42692429142866	-853929.8221435434	0.3426453316129996	7.478881574048076	0.4941780563875353	1.0	1.0	-853929.8221435434	0.0	41.12679394019105
255000	-854114.72991202	-187.95272305817434	-853926.7771889619	0.33776680141099935	5.686668861416523	0.4934529873247939	1.0	1.0	-853926.7771889619	0.0	42.599545035319885
260000	-854114.4994904082	-187.79298642816957	-853926.7065039801	0.3391159415973562	5.486109339550649	0.4884694188493054	1.0	1.0	-853926.7065039801	0.0	42.749314528373674
265000	-854103.670260632	-188.10019560313614	-853915.5700650288	0.3355890467887472	6.89674793740479	0.4866609321854236	1.0	1.0	-853915.5700650288	0.0	42.438488380079356
270000	-854101.5537020242	-187.4246969885602	-853914.1290050356	0.33456060779402885	6.45464095522829	0.4869174899174614	1.0	1.0	-853914.1290050356	0.0	43.11450011011934
275000	-854101.3306082316	-187.60504364911597	-853913.7255645825	0.3352738131320154	6.795241150791996	0.48266167207755367	1.0	1.0	-853913.7255645825	0.0	42.925641813883765
280000	-854099.2182669581	-189.02580923302315	-853910.1924577251	0.3332295641299363	7.925162020916295	0.4863259108350284	1.0	1.0	-853910.1924577251	0.0	41.51220470749154
285000	-854091.5737465796	-187.37965810543108	-853904.1940884741	0.33402039336784695	5.352308740477602	0.4875696220191756	1.0	1.0	-853904.1940884741	0.0	43.16084325745193
290000	-854098.629296528	-187.29110876968107	-853911.3381877582	0.33522878136003986	6.737846848061405	0.49099857578610345	1.0	1.0	-853911.3381877582	0.0	43.256250500735774
295000	-854101.7310978529	-186.5531630389867	-853915.1779348139	0.33178795943588263	6.139950666102012	0.49508182786158034	1.0	1.0	-853915.1779348139	0.0	44.002362735581094
300000	-854104.5849448825	-186.86162412917218	-853917.7233207534	0.3296786234772453	6.721044526384444	0.48791282664215657	1.0	1.0	-853917.7233207534	0.0	43.67956364295677
305000	-854091.0258540803	-186.9021830907654	-853904.1236709895	0.3317748403580371	6.615187562639331	0.48791282664215657	1.0	1.0	-853904.1236709895	0.0	43.639004681363545
310000	-854096.9383409854	-186.9828726372519	-853909.9554683482	0.33136848378249345	6.335802877615646	0.48967451966139314	1.0	1.0	-853909.9554683482	0.0	43.561838520915536
315000	-854094.2503991721	-187.3724861210495	-853906.877913051	0.3323229706992952	6.889830989251674	0.4865849471417966	1.0	1.0	-853906.877913051	0.0	43.16604589207873
320000	-854105.9123102776	-187.88775277700583	-853918.0245575006	0.3332268445248671	4.917986708450785	0.4868289754144493	1.0	1.0	-853918.0245575006	0.0	42.651267292667704
325000	-854094.3565968332	-186.8965267792716	-853907.4600700539	0.33327550708205395	6.195944487949782	0.488921818345282	1.0	1.0	-853907.4600700539	0.0	43.64667897626363
330000	-854101.4060253674	-187.52545177520489	-853913.8805735923	0.3336063828895025	5.183597285323214	0.488921818345282	1.0	1.0	-853913.8805735923	0.0	43.017753980330326
335000	-854092.9410199672	-186.9632912527794	-853905.9777287145	0.33309203237308455	6.4642157946024295	0.485629115515011	1.0	1.0	-853905.9777287145	0.0	43.573329097095254
340000	-854098.9221938158	-187.1681268011766	-853911.7540670147	0.3312671300449469	5.321505443025077	0.48682355226921725	1.0	1.0	-853911.7540670147	0.0	43.37088242220644
345000	-854101.0466240959	-187.04569040209626	-853914.0009336938	0.3336672600595062	5.572241578189766	0.48315430814319843	1.0	1.0	-853914.0009336938	0.0	43.48598033303478
350000	-854099.3155265846	-186.92545461842838	-853912.3900719662	0.33390231677216714	6.338011765492402	0.4866443088168765	1.0	1.0	-853912.3900719662	0.0	43.61319611805001
355000	-854097.7781221028	-186.6470180088268	-853911.131104094	0.3299498266745795	6.333247444796152	0.48675021046553774	1.0	1.0	-853911.131104094	0.0	43.89184453094892
360000	-854093.9335380788	-186.63926473961038	-853907.2942733392	0.33293566834453686	6.5240339815056565	0.48709140497547443	1.0	1.0	-853907.2942733392	0.0	43.900280189185196
365000	-854093.5630021228	-186.69617384378154	-853906.866828279	0.33293566834453686	6.69384731638253	0.48655466694502436	1.0	1.0	-853906.866828279	0.0	43.84229760895315
370000	-854107.8340630801	-186.82336840951126	-853921.0106946706	0.3350064866064182	6.316403297530719	0.4835267234343582	1.0	1.0	-853921.0106946706	0.0	43.70904715620212
375000	-854102.8050763534	-187.2327539234676	-853915.5723224299	0.33380590218372375	5.4048663882839	0.48730642541002517	1.0	1.0	-853915.5723224299	0.0	43.30722104619706
